,Location,region,"('%_death_probability_both', '')","('%_death_probability_male', '')","('%_death_probability_female', '')","('alcohol_per_capita_both', '')_x","('alcohol_per_capita_male', '')_x","('alcohol_per_capita_female', '')_x","('alcohol_per_capita_both', '')","('alcohol_per_capita_male', '')","('alcohol_per_capita_female', '')","('%_tobacco_both', '')","('%_tobacco_male', '')","('%_tobacco_female', '')","('%_water', '')","('%_h_w_facilities', '')","('%_doctors', '')","('%_suicide_rate_both', '')","('%_suicide_rate_male', '')","('%_suicide_rate_female', '')","('%_adolescent_birth_rate', '')","('%_w_got_abused', '')","('%_infant_mortality_both', '')","('%_infant_mortality_male', '')","('%_infant_mortality_female', '')","('%_birth_attend_skilled', '')"
160,Somalia,Eastern Mediterranean,22.66,22.52,22.82,0.07400000000000001,0.1298,0.0196,0.07400000000000001,0.1298,0.0196,,,,20.650555555555556,9.954761904761906,0.00255,0.004625,0.006175,0.0031,13.3,,10.039,10.549815789473685,9.154236842105263,17.1
161,South Africa,Africa,27.82,33.4,23.1,9.754,16.256,3.628,9.754,16.256,3.628,33.36666666666667,46.84444444444445,19.88888888888889,73.43388888888889,41.23722222222222,0.07521818181818182,0.01185,0.018525,0.005375,5.96,,4.8189782608695655,5.205673913043478,4.415195652173913,95.5
162,Republic of Korea,Western Pacific,11.34,15.76,7.06,10.52,15.898,5.220000000000001,10.52,15.898,5.220000000000001,25.966666666666665,45.71111111111111,6.233333333333333,99.015625,,0.20185,0.026000000000000002,0.035250000000000004,0.016675000000000002,0.19111111111111112,,3.7354927536231886,3.9564782608695652,3.481072463768116,99.9
163,South Sudan,Africa,21.160000000000004,21.72,20.64,,,,,,,,,,36.94,,,0.0043,0.005625,0.002925,15.665,,11.0096,11.806625,10.3111,14.549999999999999
164,Spain,Europe,11.28,15.76,6.959999999999999,11.866,18.55,5.496,11.866,18.55,5.496,30.82222222222222,34.08888888888889,27.566666666666666,100.0,,0.3232285714285714,0.007949999999999999,0.01205,0.004,0.9916666666666667,2.0,0.6977391304347825,0.770891304347826,0.6207608695652174,
165,Sri Lanka,South-East Asia,18.4,23.32,13.8,3.386,5.554,1.3820000000000001,3.386,5.554,1.3820000000000001,24.366666666666667,44.44444444444444,4.333333333333333,81.89444444444445,,0.054180769230769234,0.02145,0.033975,0.009325,2.490909090909091,,3.6026231884057975,3.9160434782608693,3.273086956521739,99.05
166,Sudan,Eastern Mediterranean,26.0,27.85,24.3,0.515,0.89,0.14500000000000002,0.515,0.89,0.14500000000000002,,,,50.00285714285714,24.79714285714286,0.028633333333333334,0.008,0.0121,0.004,8.68,,4.520666666666667,5.010222222222222,4.004666666666667,77.7
167,Suriname,Americas,23.919999999999998,28.28,19.82,5.612,8.958,2.298,5.612,8.958,2.298,,,,81.50166666666667,65.74259259259259,0.09275714285714286,0.0252,0.038925,0.011349999999999999,6.275714285714286,,2.873351351351351,3.1904864864864866,2.5385405405405406,90.7
168,Sweden,Europe,10.76,12.64,8.92,8.943999999999999,13.815999999999999,4.172,8.943999999999999,13.815999999999999,4.172,35.93333333333333,34.44444444444444,37.37777777777777,100.0,,0.3531090909090909,0.01575,0.021,0.0105,0.5683333333333334,6.0,0.8297285714285715,0.9296714285714286,0.7256714285714286,
169,Switzerland,Europe,10.1,12.8,7.5,11.73,18.036,5.726,11.73,18.036,5.726,26.244444444444444,29.54444444444444,22.944444444444443,100.0,,0.384621052631579,0.018975,0.02495,0.013175,0.41,,1.1145857142857143,1.248057142857143,0.9738571428571429,
